52927.7	60889.2	57105.2	54284.6	48644	82459.1	52558.7	36606.4	84077	35290.6	63914.7	52504.4	62310.8	74475.5	46203.6	53128.8	43659.1	72803	62441	66109.3	58769.8	40829.6	52356.4	50389.4	42714.6	44039.3	42666.3	48719.5	44401.6	58394.2	71032.7	61999.5	41822.6	55530.1	55798.2	67514.7	29740.4	76198.9	68960.3	45733.2	51789.3	45286.8	54101.1	46732.4	64866.9	61513.5	54991.9	37616.8	75759.8	68776.9
36672.5	57054.8	44126.3	48693.3	51757.2	81176.2	50924.4	34208.2	74506.5	36523	46922.8	45698.5	55810.4	64206.5	46999.3	63953.8	40625.8	64785.6	63141.9	60923.8	67021.5	40008.3	42476.6	43445.4	39180.1	38041	45969	40140.7	38699.7	47941.5	54365.4	45448.2	38223.5	48264.2	60330.9	57129.6	26160	55333.8	69368.1	47346.2	47942.2	54326.6	48299.8	41554.9	60331.7	77619.6	52270.5	36365.2	70009.2	51362.2
26347.8	40771.2	33308.8	36293.1	38887.4	60701.2	37665	26432.3	55807.3	28989.7	37392.3	36543.5	44263.7	47908.2	37246	51105.9	33138.2	47788.4	46354.6	46734.6	51484.9	29783.5	33409.3	32955.5	30563.4	29787.4	37300.6	28445.6	30789.4	35102.6	39662.8	34857.7	30307.7	37824	45301.9	43472.2	20929.8	41558.2	52711.3	37473.2	36162.4	44733.1	35285.2	32702.9	46517.2	60616.2	40792	30305.7	51071.8	35429
39188.8	22856.5	37733.7	29987.1	24186.1	27850.9	22460.7	37076.7	23127.6	33656.8	35514.6	33393.7	32189.5	26317.7	30128.2	22969.9	32695	28738.9	21310.6	27823.6	26111.6	34021.6	41911.7	36165.8	39573.3	29473.9	36005.6	35607	44155.5	30938.1	29377	38491.8	34909.9	33855.5	23436.9	34096.9	40690.1	35431.6	23856.7	25025.7	36745.9	28531.8	29695.8	31081.6	27477.2	18224.3	24944.5	41485.5	23225	34148.3
30519.7	23166.3	28145.2	26204.5	22662.5	33775.7	18358.1	28461.4	18997.9	24813.3	17524.1	19866.1	22532.1	21978.4	22464.8	19709.2	17887.4	29304.9	20741.8	22629	29501.7	34959.6	28849.1	29919.5	31732.6	15889.8	29870	38145.5	31944.7	26440.4	23295.3	24889.3	22393.6	23460.2	23784.7	29342.8	22013.6	26110.3	21973.2	16445.1	37563.9	22929.8	28488.1	18725	21680.6	17267.9	16221.8	24984.8	23060.4	39751.9
21080	17387.8	22587.8	20592.9	17773.8	32777.9	13814.1	21045.9	17340.3	19334.6	15640	17345.8	21018.1	19113.9	19132.4	18480.6	15239	25451.5	16753.2	20258.3	27096.7	25634	24725.6	23781.3	25559.9	12137.4	26905.6	26214.5	26953.6	20218.3	18586.7	20867.4	17951.5	20346	19799.7	26153.2	15605.4	22735.2	19917.2	13590.8	30878.4	21799	21564.7	15098.3	19441.5	16301.1	13710.7	21817.6	19615.2	28993.6
18575.3	15134.9	19364.6	17454	14792.7	27038.7	12001	17123.6	15342.7	15501.3	13853.2	14696.5	17671.6	16716.3	15657.6	14942.5	12733.8	21649.5	14413.6	17227.7	21682.4	20702.6	20576.3	19828.4	20648.5	10556.7	20986.3	22118	21766.6	17518.7	16590.5	18161.4	14884.3	17147.5	16434.2	22065.3	12855.3	20023.1	16854.3	11429.7	25011.2	17081.5	18300.8	12867.9	16532.3	13442.3	11827.1	17325.7	17074.2	25266.1
15295.7	12477	18085.8	16191.2	13729.5	32038.6	9379.6	17157.5	12989.1	15957.9	11350.9	13525.7	17734.5	14663.8	15802	15803.5	11597.3	21706.9	12359	16468.9	25700.9	22090	21454.6	19875.5	22704.3	8018.6	26158.5	21122.4	24662.5	15279.6	13449.1	16315	14100.2	16589.6	16072.1	22898.1	11471.1	18119.1	16264.7	9854.8	28856.4	20300.7	16921.7	10995.1	15648.8	13196.9	9736.1	19511.9	15110.7	23498.4
22709.9	15106.1	24223.9	20425.7	16201.9	34570.6	11344.6	23379.2	14352.9	20477.3	14470	16755.7	20815.8	17138.6	18899.6	16511.3	14427.2	25555.7	14049.4	19019.1	27781.7	29215.3	28223.2	26071.7	29918.3	10477.9	31105.5	29820	32723	19930.4	17149.6	21672.3	18319.6	20571.2	18139.6	27870.5	16651	23084.5	17796.3	11568.2	36651.4	22067.8	21688.5	13984.9	18009.2	12975.3	11404.4	24929.4	17165.5	32111.4
19833	20616.3	23467.6	24930.1	26859.9	34162.2	19066.6	31824.5	17952	33637.2	16433.5	22618.7	25341.4	19926.3	29439.8	31554.4	23521.6	26148.1	21648.9	23867.6	38723.3	36370.6	28418.2	28504.2	35058.4	17428.5	43703.8	28404.4	35155.3	21710.2	17509	20551.5	26426.2	24871.6	28266.9	27134.4	26187.7	19824.2	24764	22375.8	37333.5	39670.3	25404.1	21138.4	23511.5	27289.1	19190.2	35773	21074.6	24162.5
48926.1	45209.2	45585.4	39951.1	34590.2	35626.9	47177	29325.1	62066	27808	69237.8	47412	45329.3	54694.6	34412.5	32971.9	43082.4	42557.6	44496.5	46038.5	28049.3	25735	39457.8	36197.1	29364.1	53095.8	24723.7	33085.1	31053.6	46020	59906.9	54349.5	37351.6	43703.3	34809.1	42566.5	33809.7	58997.8	43634.3	42337.4	28634.1	26960	38288.8	46485.3	46446.5	37381.7	51743.1	29652.2	49938.4	42700.8
